cik,filer_name,issuer_name,ticker,exchange,filing_date,transaction_date,transaction_code,shares,price_per_share,transaction_value,filer_role,issuer_market_cap_at_filing,sic_code,source_filing_url
1182464,GOEDDEL DAVID V,NGM BIOPHARMACEUTICALS INC,NGM,"NYSE/Nasdaq (inferred, not in current listing file)",2020-02-28,2020-02-27,P,33896.0,17.91,607077.36,Director,1193783688.99,2834,https://www.sec.gov/Archives/edgar/data/1182464/000120919120014193/doc4.xml
1221359,RADY ERNEST S,"American Assets Trust, Inc.",AAT,NYSE,2020-02-28,2020-02-27,P,10000.0,42.84,428400.0,"Director; Officer (Chairman, CEO & President)",2573322887.52,6798,https://www.sec.gov/Archives/edgar/data/1221359/000150021720000012/wf-form4_158292519270526.xml
939713,TUCHMAN MARTIN,Fortress Transportation & Infrastructure Investors LLC,FTAI,Nasdaq,2019-09-16,2019-09-12,P,50000.0,25.88,1294000.0,Director,2197293211.44,7350,https://www.sec.gov/Archives/edgar/data/939713/000120919119049554/doc4.xml
1284591,HORNBECK TODD M,HORNBECK OFFSHORE SERVICES INC /LA,HOS,"NYSE/Nasdaq (inferred, not in current listing file)",2014-05-08,2014-05-07,P,20000.0,38.5887,771774.0,Director; Officer (President & CEO),1398921488.45,4400,https://www.sec.gov/Archives/edgar/data/1131227/000118143114018488/rrd408851.xml
1869790,Adinolfi Jon Michael,Hillman Solutions Corp.,HLMN,Nasdaq,2022-03-07,2022-03-07,P,47830.0,10.45,499823.5,"Officer (Div President, Hillman US)",1960101389.95,3420,https://www.sec.gov/Archives/edgar/data/1869790/000182249222000028/wf-form4_164668863259235.xml
1550099,Beltzman Daniel Gordon,REGIS CORP,RGS,Nasdaq,2014-05-08,2014-05-06,P,46190.0,13.1712,608377.73,Director,746502284.77,7200,https://www.sec.gov/Archives/edgar/data/716643/000155009914000003/primary_doc.xml
1589374,SEDDON TOM,"Extended Stay America, Inc.",STAY,"NYSE/Nasdaq (inferred, not in current listing file)",2014-11-17,2014-11-14,P,26450.0,18.3947,486539.82,Officer (See Remarks),3764056985.94,7011,https://www.sec.gov/Archives/edgar/data/1581164/000114036114042436/doc1.xml
1228922,DONDERO JAMES D,"NexPoint Real Estate Finance, Inc.",NREF,NYSE,2020-02-28,2020-02-27,P,27044.0,18.836,509400.78,Director; Officer (President),355021474.24,6798,https://www.sec.gov/Archives/edgar/data/1228922/000089924320006246/doc4.xml
1200753,WILMOTT TIMOTHY J,PENN NATIONAL GAMING INC,PENN,Nasdaq,2014-05-08,2014-05-07,P,50000.0,10.74,537000.0,Officer (President & CEO),844100591.04,7011,https://www.sec.gov/Archives/edgar/data/921738/000117911014007926/edgar.xml
1524265,Frink Lloyd D,GrubHub Inc.,GRUB,"NYSE/Nasdaq (inferred, not in current listing file)",2014-04-11,2014-04-09,P,77000.0,26.0,2002000.0,Director,2427047298.0,7389,https://www.sec.gov/Archives/edgar/data/1594109/000120919114027123/doc4.xml
1626706,Schmitzer Richard,"James River Group Holdings, Ltd.",JRVR,Nasdaq,2022-03-07,2022-03-04,P,12450.0,20.3115,252878.17,Officer (Pres. & CEO - E&S Lines Sgmt),760631429.81,6331,https://www.sec.gov/Archives/edgar/data/1626706/000162045922000057/wf-form4_164665341200884.xml
1349214,Stevens Jeff A,ANDEAVOR LOGISTICS LP,ANDX,"NYSE/Nasdaq (inferred, not in current listing file)",2018-08-28,2018-08-24,P,14175.0,50.2,711585.0,Director,10902887850.2,4610,https://www.sec.gov/Archives/edgar/data/1349214/000150761518000067/wf-form4_153548839885986.xml
1570945,Steeneck Craig D.,"Freshpet, Inc.",FRPT,Nasdaq,2020-02-28,2020-02-26,P,7500.0,66.0,495000.0,Director,2386910790.0,2040,https://www.sec.gov/Archives/edgar/data/1570945/000089924320006231/doc4.xml
1562371,Barry Richard,"Sarepta Therapeutics, Inc.",SRPT,Nasdaq,2019-09-16,2019-09-13,P,3309.0,87.49,289504.41,Director,6504043083.33,2834,https://www.sec.gov/Archives/edgar/data/1562371/000120919119049553/doc4.xml
1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,SEARS HOLDINGS CORP,SHLD,"NYSE/Nasdaq (inferred, not in current listing file)",2016-03-17,2016-03-15,P,50000.0,15.91,795500.0,Director,1698677320.82,5311,https://www.sec.gov/Archives/edgar/data/1310067/000091957416011952/p7084799.xml
942439,PENSKE ROGER S,"PENSKE AUTOMOTIVE GROUP, INC.",PAG,NYSE,2017-10-23,2017-10-20,P,1103996.0,45.29,49999978.84,Director; Officer (Chairman & CEO),3884438154.8,5500,https://www.sec.gov/Archives/edgar/data/942439/000120919117057755/doc4.xml
1576312,deVeer R. Kipp,ARES CAPITAL CORP,ARCC,Nasdaq,2020-10-30,2020-10-28,P,75000.0,13.98,1048500.0,Director; Officer (Chief Executive Officer),10037959373.1,,https://www.sec.gov/Archives/edgar/data/1576312/000110465920120149/a4.xml
939713,TUCHMAN MARTIN,Fortress Transportation & Infrastructure Investors LLC,FTAI,Nasdaq,2019-09-16,2019-09-12,P,10000.0,25.86,258600.0,Director,2195595148.68,7350,https://www.sec.gov/Archives/edgar/data/939713/000120919119049554/doc4.xml
1558592,Kraft Robert O.,Hillman Solutions Corp.,HLMN,Nasdaq,2022-03-07,2022-03-07,P,47500.0,10.353,491767.5,Officer (CFO and Treasurer),1941907147.38,3420,https://www.sec.gov/Archives/edgar/data/1558592/000182249222000022/wf-form4_164667748616049.xml
1606074,Svennilson Peter,NGM BIOPHARMACEUTICALS INC,NGM,"NYSE/Nasdaq (inferred, not in current listing file)",2020-02-28,2020-02-27,P,33896.0,17.91,607077.36,Director,1193783688.99,2834,https://www.sec.gov/Archives/edgar/data/1606074/000120919120014194/doc4.xml
1284591,HORNBECK TODD M,HORNBECK OFFSHORE SERVICES INC /LA,HOS,"NYSE/Nasdaq (inferred, not in current listing file)",2014-05-08,2014-05-07,P,30000.0,38.65,1159500.0,Director; Officer (President & CEO),1401143742.3,4400,https://www.sec.gov/Archives/edgar/data/1131227/000118143114018488/rrd408851.xml
1798288,Pomerantz Heather,"Freshpet, Inc.",FRPT,Nasdaq,2020-02-28,2020-02-26,P,6000.0,66.0,396000.0,Officer (EVP of Finance),2386910790.0,2040,https://www.sec.gov/Archives/edgar/data/1798288/000089924320006232/doc4.xml
1221359,RADY ERNEST S,"American Assets Trust, Inc.",AAT,NYSE,2020-02-28,2020-02-26,P,12085.0,43.94,531014.9,"Director; Officer (Chairman, CEO & President)",2639397938.32,6798,https://www.sec.gov/Archives/edgar/data/1221359/000150021720000012/wf-form4_158292519270526.xml
1396395,Copeland David W,SM Energy Co,SM,NYSE,2014-11-17,2014-11-14,P,5000.0,51.537,257685.0,"Officer (EVP, GC & Corp. Sec.)",3473872151.34,1311,https://www.sec.gov/Archives/edgar/data/893538/000089353814000095/wf-form4_141625875828848.xml
1636204,Goetz Matthew,"NexPoint Real Estate Finance, Inc.",NREF,NYSE,2020-02-28,2020-02-27,P,27044.0,18.836,509400.78,Officer (See Remarks),355021474.24,6798,https://www.sec.gov/Archives/edgar/data/1636204/000089924320006248/doc4.xml
1466605,LIVEK WILLIAM PAUL,"COMSCORE, INC.",SCOR,Nasdaq,2022-03-07,2022-03-07,P,200000.0,2.67,534000.0,Director; Officer (See Remarks),241471035.3,7389,https://www.sec.gov/Archives/edgar/data/1466605/000115817222000015/wf-form4_164668987831148.xml
1221359,RADY ERNEST S,"American Assets Trust, Inc.",AAT,NYSE,2020-02-28,2020-02-28,P,8313.0,40.97,340583.61,"Director; Officer (Chairman, CEO & President)",2460995301.16,6798,https://www.sec.gov/Archives/edgar/data/1221359/000150021720000012/wf-form4_158292519270526.xml
1450714,Jacobowitz Jeffrey,"Donnelley Financial Solutions, Inc.",DFIN,NYSE,2019-12-02,2019-11-27,P,284300.0,9.9332,2824008.76,Director,340708760.0,7380,https://www.sec.gov/Archives/edgar/data/1450714/000120919119058527/doc4.xml
